2023-05-02 15:16:51,340 | WARN  | Transport Connection to: tcp://18.192.220.39:33862 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33862 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,334 | WARN  | Transport Connection to: tcp://18.192.220.39:33866 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33866 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,334 | WARN  | Transport Connection to: tcp://18.192.220.39:33512 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33512 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,331 | WARN  | Transport Connection to: tcp://18.192.220.39:34580 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34580 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,331 | WARN  | Transport Connection to: tcp://18.192.220.39:34434 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34434 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,331 | WARN  | Transport Connection to: tcp://18.192.220.39:34884 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34884 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,328 | WARN  | Transport Connection to: tcp://18.192.220.39:33540 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33540 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,327 | WARN  | Transport Connection to: tcp://18.192.220.39:34348 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34348 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,327 | WARN  | Transport Connection to: tcp://18.192.220.39:35030 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:35030 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,327 | WARN  | Transport Connection to: tcp://18.192.220.39:33884 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33884 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
